Model,Provider,Context Window,Speed (tokens/sec),Latency (sec),Benchmark (MMLU),Benchmark (Chatbot Arena),Open-Source,Price / Million Tokens,Training Dataset Size,Compute Power,Energy Efficiency,Quality Rating,Speed Rating,Price Rating
Command-7,Cohere,256000,259,9.73,63,1328,1,27.03,467900728,98,3.11,1,3,3
Claude-8,Anthropic,2000000,65,10.75,80,1041,0,12.68,559285931,87,0.43,2,2,3
Claude-1,Anthropic,200000,54,1.23,73,1275,0,8.34,640015140,30,2.64,1,2,3
DeepSeek-6,Deepseek,128000,272,6.86,90,1223,0,17.79,639288961,8,0.84,3,3,3
Nova-5,AWS,2000000,101,2.86,77,1045,0,27.38,114448335,22,3.71,2,2,3
Command-2,Cohere,1000000,275,1.45,66,1192,1,6.36,344437700,44,2.61,1,3,3
Mistral-6,Mistral AI,2000000,216,19.8,69,1331,0,18.71,144421835,58,3.43,1,3,3
Claude-1,Anthropic,2000000,29,6.58,66,1484,0,18.97,973749635,36,0.3,1,1,3
GPT-6,OpenAI,200000,261,16.24,92,1298,1,22.01,463548846,69,0.52,3,3,3
Nova-3,AWS,1000000,270,5.24,82,1243,0,3.99,620144330,77,3.61,2,3,3
Command-4,Cohere,2000000,24,13.69,80,1039,0,21.49,64023119,93,0.45,2,1,3
Claude-3,Anthropic,128000,138,15.25,78,1086,1,27.28,212332534,31,0.45,2,2,3
DeepSeek-3,Deepseek,128000,84,11.99,78,960,0,5.43,270621669,47,0.16,2,2,3
Command-7,Cohere,256000,165,9.54,88,1279,1,7.16,936931473,55,4.79,3,2,3
Command-9,Cohere,1000000,243,8.35,77,1339,1,29.14,925626379,80,3.71,2,3,3
GPT-8,OpenAI,1000000,258,7.11,61,1218,1,5.47,882817562,62,1.83,1,3,3
Nova-7,AWS,256000,196,18.6,60,1201,1,25.64,91299914,30,1.55,1,2,3
Gemini-8,Google,2000000,286,16.65,64,1243,0,14.79,78408332,55,1.81,1,3,3
GPT-9,OpenAI,1000000,82,19.31,79,910,1,7.45,311027380,16,3.9,2,2,3
GPT-2,OpenAI,128000,236,2.66,70,961,0,26.13,840960054,12,3.34,1,3,3
DeepSeek-3,Deepseek,128000,196,14.67,61,1125,0,13.39,776896778,17,1.01,1,2,3
DeepSeek-9,Deepseek,200000,117,18.78,62,1052,0,15.47,32582294,16,0.95,1,2,3
Command-1,Cohere,1000000,124,3.79,82,1463,0,10.81,630233071,12,0.58,2,2,3
Gemini-1,Google,2000000,118,1.52,71,1470,0,17.81,633499086,8,3.34,1,2,3
Nova-5,AWS,256000,25,14.87,79,1483,0,4.95,306246420,84,3.85,2,1,3
Llama-7,Meta AI,256000,216,11.57,64,1474,0,11.76,635886363,3,1.4,1,3,3
GPT-9,OpenAI,2000000,152,16.87,89,1209,0,29.08,879108142,16,0.2,3,2,3
Claude-3,Anthropic,300000,278,2.97,68,1142,0,7.78,664501699,30,0.5,1,3,3
Nova-3,AWS,200000,42,15.95,93,1392,0,19.72,760457578,23,4.84,3,1,3
Command-8,Cohere,256000,72,4.19,94,1265,1,9.79,558765778,92,1.55,3,2,3
Mistral-8,Mistral AI,1000000,184,3.44,81,1229,1,23.22,258946478,5,3.87,2,2,3
GPT-8,OpenAI,200000,221,3.45,83,1006,1,3.97,846870499,84,3.16,2,3,3
Command-1,Cohere,1000000,102,16.33,76,1125,0,29.1,792246708,65,1.97,2,2,3
Nova-4,AWS,128000,164,13.37,69,1117,1,13.64,984434476,30,1.11,1,2,3
Mistral-8,Mistral AI,200000,104,10.56,89,1405,1,7.12,436566133,21,0.69,3,2,3
Command-3,Cohere,256000,97,7.3,82,1158,1,2.25,835721650,84,3.11,2,2,3
Nova-9,AWS,200000,20,17.57,91,1416,0,5.13,435699137,70,3.9,3,1,3
Claude-9,Anthropic,200000,70,7.97,76,953,0,15.62,714488813,22,3.26,2,2,3
Llama-2,Meta AI,200000,192,16.37,76,946,0,10.14,504121955,82,2.7,2,2,3
Nova-2,AWS,300000,224,8.89,73,1420,0,24.88,29205135,72,0.31,1,3,3
Gemini-6,Google,200000,279,7.66,68,998,1,12.96,99248148,32,4.85,1,3,3
Claude-9,Anthropic,1000000,53,9.36,61,919,1,7.5,149877971,33,4.01,1,2,3
Command-1,Cohere,128000,114,6.17,84,1472,1,18.53,730656909,16,1.53,2,2,3
Command-1,Cohere,2000000,91,15.0,68,1389,1,21.22,246158522,76,4.9,1,2,3
Mistral-5,Mistral AI,200000,58,10.15,81,1318,0,5.05,771501372,38,3.05,2,2,3
Nova-4,AWS,256000,173,4.8,63,961,0,5.07,227844494,98,2.95,1,2,3
Nova-8,AWS,200000,269,18.01,85,1044,0,1.15,138656571,14,3.77,2,3,2
DeepSeek-3,Deepseek,256000,181,7.8,88,1115,1,22.11,168296386,36,4.08,3,2,3
GPT-1,OpenAI,1000000,137,10.96,93,902,0,19.93,347700519,97,3.32,3,2,3
Nova-3,AWS,256000,278,18.15,82,1059,0,14.27,263414575,23,0.73,2,3,3
Mistral-7,Mistral AI,2000000,287,12.56,70,1019,1,25.33,385042185,66,1.76,1,3,3
Mistral-6,Mistral AI,128000,73,2.51,65,988,1,24.18,473979971,85,4.65,1,2,3
Mistral-3,Mistral AI,256000,255,18.81,77,1228,0,17.58,934838589,2,1.2,2,3,3
Mistral-8,Mistral AI,256000,241,12.63,80,1479,0,26.05,928460081,91,1.92,2,3,3
Claude-2,Anthropic,128000,270,6.83,93,1256,0,6.21,643937953,73,2.22,3,3,3
Llama-1,Meta AI,2000000,131,2.96,76,1166,0,3.4,97269328,65,2.25,2,2,3
Command-1,Cohere,200000,274,15.92,84,1222,0,8.13,973877484,75,3.1,2,3,3
Llama-3,Meta AI,256000,226,12.48,71,1440,0,1.76,702538019,67,4.72,1,3,2
Command-3,Cohere,128000,248,10.76,82,1094,1,15.96,314380025,52,1.28,2,3,3
Nova-1,AWS,1000000,85,17.9,81,1231,1,28.1,523596792,62,0.7,2,2,3
Nova-1,AWS,128000,94,15.81,80,1069,1,1.23,96655357,23,1.07,2,2,2
Command-5,Cohere,1000000,122,3.2,86,1420,0,3.71,778130538,26,4.45,3,2,3
Mistral-3,Mistral AI,2000000,211,6.37,90,1362,1,13.59,529337254,68,3.26,3,3,3
Command-9,Cohere,200000,271,5.12,65,939,0,28.02,777995262,82,1.5,1,3,3
Llama-8,Meta AI,128000,245,14.93,86,1436,0,9.52,470037259,55,4.1,3,3,3
Llama-1,Meta AI,300000,117,0.86,93,1160,1,15.24,779371753,6,4.32,3,2,3
Mistral-5,Mistral AI,256000,268,11.48,71,1294,0,1.3,213908166,35,4.25,1,3,2
DeepSeek-3,Deepseek,2000000,185,15.3,66,1125,0,4.49,108175916,22,4.6,1,2,3
Command-1,Cohere,128000,49,17.56,69,1023,1,29.6,792887102,43,1.34,1,1,3
Command-5,Cohere,256000,266,6.97,76,937,1,28.96,897946854,15,3.8,2,3,3
Nova-7,AWS,128000,125,16.46,85,1227,1,0.2,194568798,86,2.36,2,2,1
GPT-3,OpenAI,1000000,70,2.39,80,1150,0,28.56,459132887,60,4.23,2,2,3
Nova-2,AWS,128000,100,16.96,87,1075,1,19.19,186532752,12,3.67,3,2,3
GPT-6,OpenAI,300000,152,2.72,61,1353,1,26.04,289203785,49,3.9,1,2,3
Gemini-3,Google,128000,157,8.07,60,936,0,13.67,795650140,42,3.32,1,2,3
Nova-8,AWS,128000,203,15.99,85,1215,1,15.49,28286921,38,0.97,2,3,3
Gemini-6,Google,300000,292,3.17,88,1492,1,14.69,720591447,82,2.77,3,3,3
DeepSeek-2,Deepseek,2000000,88,4.74,80,1013,1,20.02,914613955,45,4.92,2,2,3
DeepSeek-2,Deepseek,128000,53,14.5,70,939,0,4.23,749689587,35,4.69,1,2,3
Gemini-1,Google,300000,281,14.46,70,1200,0,0.95,373929493,30,0.31,1,3,2
Nova-1,AWS,256000,72,12.89,94,1123,0,9.27,240586150,88,0.91,3,2,3
GPT-6,OpenAI,1000000,224,13.94,93,1217,0,21.16,282488277,30,0.75,3,3,3
Nova-7,AWS,1000000,145,10.95,83,1248,1,6.1,215821344,78,3.66,2,2,3
Llama-7,Meta AI,128000,254,5.19,81,1014,0,20.22,530570059,6,4.11,2,3,3
Gemini-3,Google,2000000,62,7.04,64,1222,0,29.1,186555415,67,1.15,1,2,3
Gemini-9,Google,2000000,259,3.8,92,1467,1,2.86,113913164,80,2.58,3,3,3
Nova-7,AWS,256000,130,18.19,79,939,1,20.19,571980809,7,4.22,2,2,3
GPT-4,OpenAI,128000,268,11.75,78,939,1,13.34,482443470,52,3.69,2,3,3
Llama-4,Meta AI,1000000,170,8.14,94,1188,0,26.05,865120794,14,2.76,3,2,3
